"notation","title","description","id"
"","Alltagserzählung","","u2z"
"","Alltagsgespräch","","h7z"
"","Anweisungen","","v7q"
"","Anzeige","","h6d"
"","Audiotour","","q5c"
"","Aushang","","z2f"
"","Bedienungsanleitung","","g6z"
"","Belehrung","","d4a"
"","Berichte","","v6x"
"","Bestimmung","","u4e"
"","Broschüre","","t5h"
"","Buchbesprechung","","q7v"
"","Debatte","","e9r"
"","Dienstleistungsgespräch","","g3e"
"","Diskussion","","a5f"
"","Durchsagen","","t3h"
"","E-Mail","","f3s"
"","Erklärung eines Phänomens","","e6s"
"","Etikett","","h6q"
"","Fahrplan","","q6u"
"","Filmbesprechung","","q9q"
"","Flyer","","c4g"
"","Formular","","r4c"
"","Gedicht","","q6f"
"","Geschäftsbrief","","v6a"
"","Glosse","","c5g"
"","Homepage","","e3q"
"","Hörbuch","","t4f"
"","Interview","","z5y"
"","Jugendbuchauszug","","h4d"
"","Klappentext","","e6z"
"","Kommentar","","t6b"
"","Kurzgeschichte","","c7q"
"","Leserbrief","","x6a"
"","Meinungsumfrage","","e5d"
"","Nachricht auf Anrufbeantworter","","d9a"
"","Nachrichten","","q5d"
"","Notiz","","u7r"
"","Packzettel","","u3p"
"","persönlicher Brief","","y2d"
"","Poster","","x6h"
"","Postkarte","","z7s"
"","Programm","","f2e"
"","Programmheft","","t3q"
"","Rede","","f9s"
"","Reisebericht","","d9d"
"","Reportage","","t6q"
"","Romanauszug","","f2a"
"","Schild","","h3e"
"","SMS","","c9t"
"","Spielanleitung","","g6p"
"","Sportbericht","","a4u"
"","Talk","","f3c"
"","Telefongespräch","","d2q"
"","Vertrag","","e6h"
"","Vortrag","","d4h"
"","Wegbeschreibung","","e2g"
"","Werbematerial","","h2s"
"","Werbetext","","t2p"
"","Wetterbericht","","d5c"
"","Zeitungsmeldung","","u6r"
